Аца;Ацо
Акса;Аксо
Ана;Ана
Анда;Анда
Анђа;Анђо
Андра;Андро
Аница;Анице
Анита;Анита
Ања;Ања
Анка;Анка
Анта;Анто
Арса;Арсо
Балша;Балша
Бела;Бела
Биљка;Биљка
Блажа;Блажо
Боица;Боице
Боја;Бојо
Бојка;Бојка
Бора;Боро
Борка;Борка
Боса;Босо
Босна;Босна
Божа;Божо
Брана;Брано
Брнча;Брнча
Буда;Будо
Цаја;Цајо
Цајка;Цајка
Цака;Цако
Цана;Цано
Ћана;Ћано
Ћанка;Ћанка
Чарна;Чарна
Цеца;Цецо
Чеда;Чедо
Ћира;Ћиро
Ћирка;Ћирка
Цмиља;Цмиљо
Ћуба;Ћубо
Цвеја;Цвејо
Цвета;Цвето
Цвија;Цвијо
Дана;Дано
Данка;Данка
Дара;Даро
Дариа;Дариа
Дарка;Дарка
Даша;Дашо
Деа;Деа
Деса;Десо
Дева;Дево
Дивна;Дивна
Ђока;Ђоко
Докна;Докна
Дора;Дора
Ђора;Ђоро
Драга;Драга
Дража;Дражо
Дрена;Дрено
Дрина;Дрино
Дука;Дуко
Ђука;Ђуко
Дуња;Дуња
Ђура;Ђуро
Ђурђа;Ђурђа
Душка;Душка
Елена;Елена
Ема;Ема
Ева;Ево
Евана;Евана
Евица;Евице
Фема;Фемо
Фемка;Фемка
Гача;Гачо
Гага;Гаго
Гаја;Гаја
Гавра;Гавро
Глиша;Глишо
Гоца;Гоцо
Груја;Грујо
Илија;Илија
Илина;Илина
Ина;Ина
Ирена;Ирена
Ирина;Ирина
Искра;Искра
Ива;Иво
Ивана;Ивана
Ивица;Ивице
Ивка;Ивка
Ивона;Ивона
Јакша;Јакша
Јана;Јано
Јанча;Јанча
Јања;Јањо
Јасна;Јасна
Јегда;Јегдо
Јека;Јеко
Јела;Јело
Јелка;Јелка
Јеша;Јешо
Јева;Јево
Јевта;Јевто
Језда;Јездо
Јока;Јоко
Јова;Јово
Јовка;Јовка
Јула;Јуло
Јулка;Јулка
Ката;Като
Клара;Кларо
Коча;Коча
Коса;Косо
Коста;Коста
Козма;Козма
Крста;Крсто
Круна;Круно
Лака;Лако
Лана;Лано
Лара;Ларо
Лата;Лато
Лаза;Лазо
Леа;Леа
Лела;Лела
Лена;Лено
Ленка;Ленка
Лепа;Лепа
Лила;Лила
Лиза;Лиза
Љиља;Љиљо
Љуба;Љубо
Љупка;Љупка
Лола;Лоло
Лоза;Лозо
Луча;Луча
Лука;Лука
Луна;Луна
Магда;Магда
Маја;Мајо
Мајда;Мајда
Манда;Мандо
Мања;Мања
Мара;Маро
Марта;Марта
Маша;Машо
Миа;Миа
Мића;Мићо
Мија;Мијо
Мила;Мила
Миља;Миљо
Миљка;Миљка
Милка;Милка
Милна;Милна
Мина;Мина
Миња;Миња
Миона;Миона
Мира;Миро
Мирча;Мирча
Мирка;Мирка
Мирна;Мирна
Миса;Мишо
Миша;Мишо
Мита;Мито
Митра;Митра
Моша;Мошо
Мркша;Мркша
Нада;Надо
Нађа;Нађа
Најда;Најда
Нана;Нано
Ната;Нато
Неда;Недо
Нела;Нела
Никша;Никша
Нина;Нина
Новка;Новка
Олга;Олга
Оља;Оља
Пајка;Пајка
Панта;Панто
Пауна;Пауна
Пава;Паво
Павка;Павка
Пеђа;Пеђа
Пејка;Пејка
Пера;Перо
Перка;Перка
Перса;Персо
Петра;Петра
Пољка;Пољка
Рада;Радо
Радна;Радна
Раица;Раице
Рајка;Рајка
Рајна;Рајна
Ранђа;Ранђо
Ранка;Ранка
Ратка;Ратка
Реља;Реља
Риста;Ристо
Рокса;Рокса
Роса;Росо
Ружа;Ружо
Сајка;Сајка
Шана;Шано
Сања;Сања
Сара;Саро
Саса;Саша
Саша;Саша
Сава;Саво
Савка;Савка
Сенка;Сенка
Сима;Симо
Симка;Симка
Синђа;Синђо
Смиља;Смиљо
Софка;Софка
Соја;Сојо
Сојка;Сојка
Сока;Соко
Соња;Соња
Совка;Совка
Спира;Спиро
Срба;Србо
Срђа;Срђо
Стаја;Стајо
Стака;Стако
Стана;Стано
Сташа;Сташо
Стева;Стево
Стоја;Стојо
Тада;Тадо
Тања;Тања
Тара;Таро
Теа;Теа
Теона;Теона
Тимка;Тимка
Тина;Тина
Тода;Тодо
Тома;Томо
Томка;Томка
Тоша;Тошо
Триша;Тришо
Трива;Триво
Уна;Уна
Вања;Вања
Васа;Васо
Васја;Васја
Васка;Васка
Вера;Вера
Верка;Верка
Веса;Весо
Веска;Веска
Весна;Весна
Вида;Видо
Винка;Винка
Вишња;Вишња
Витка;Витка
Влада;Владо
Воица;Воице
Воја;Војо
Војка;Војка
Вуча;Вучо
Вуица;Вуица
Вујка;Вујка
Вукша;Вукша
Зага;Заго
Жанка;Жанка
Жељка;Жељка
Жика;Жико
Жива;Живо
Живка;Живка
Злата;Злато
Зоја;Зоја
Зора;Зоро
Зорка;Зорка
Хана;Хана
Лаура;Лаура
Инона;Инона
Дина;Дина
Амела;Амела
Ида;Идо
Грозда;Гроздо
Ставра;Ставро
Струја;Струјо
Власта;Власто
